event_str,event_end,event_num,event_type,event_name,link_id,section_id,km_start,km_end,length,lane_no,survey_date,lat_str,lat_end,lon_str,lon_end,name_key,run_code
290,6600,a,pave type.,ac,00000900111L1AC02,,0+000,6+310,6310,L1,20241027,7.18419768602367,7.1467557434623,100.594298412057,100.572104377416,20241027_2,2.0
6600,7985,a,pave type.,ac,00000900111L1AC03,,6+310,7+695,1385,L2,20241027,7.1467557434623,7.13794965870042,100.572104377416,100.563175886152,20241027_2,2.0
7985,10200,a,pave type.,ac,00000900111L1AC04,,7+695,9+915,2215,L1,20241027,7.13794965870042,7.12237143194814,100.563175886152,100.558665058011,20241027_2,2.0
