chainage,lon,lat,iri_right,iri_left,iri,iri_lane,rutt_right,rutt_left,rutting,texture,etd_texture,event_name,frame_number,file_name,run_code
290.0,100.59429841205733,7.184197686023669,13.920000076293945,12.319999694824219,13.119999885559082,13.119999885559082,6.599999904632568,3.700000047683716,5.099999904632568,0.503000020980835,0.410400016784668,ac,59,20241027_2,2.0
295.0,100.59430814460003,7.184153781479877,5.739999771118164,7.670000076293945,6.704999923706055,6.710000038146973,4.099999904632568,7.900000095367432,6.0,0.625,0.508,ac,60,20241027_2,2.0
300.0,100.59431866694892,7.184108631583983,6.050000190734863,8.5,7.275000095367432,7.28000020980835,2.799999952316284,13.699999809265137,8.199999809265137,0.5960000157356262,0.48480001258850103,ac,61,20241027_2,2.0
305.0,100.59432823771972,7.184065688813916,4.150000095367432,4.590000152587891,4.369999885559082,4.369999885559082,2.5999999046325684,13.0,7.800000190734863,0.5720000267028809,0.4656000213623047,ac,62,20241027_2,2.0
310.0,100.59433889012996,7.184020694415439,4.849999904632568,6.269999980926514,5.559999942779541,5.559999942779541,6.5,11.199999809265137,8.800000190734863,0.6919999718666077,0.5615999774932862,ac,63,20241027_2,2.0
315.0,100.59434894996934,7.183977454843717,3.6500000953674316,2.640000104904175,3.1449999809265137,3.1500000953674316,6.599999904632568,9.0,7.800000190734863,0.6990000009536743,0.5672000007629395,ac,64,20241027_2,2.0
320.0,100.59435893274134,7.183933429603194,2.740000009536743,2.75,2.744999885559082,2.75,6.5,7.5,7.0,0.5820000171661377,0.47360001373291016,ac,65,20241027_2,2.0
325.0,100.59436850687483,7.183889317115104,1.4500000476837158,1.440000057220459,1.4450000524520874,1.4500000476837158,6.0,9.899999618530273,8.0,0.5590000152587891,0.45520001220703127,ac,66,20241027_2,2.0
330.0,100.59437832057499,7.183845824574393,1.5700000524520874,1.1100000143051147,1.340000033378601,1.340000033378601,4.699999809265137,10.899999618530273,7.800000190734863,0.5400000214576721,0.44000001716613774,ac,67,20241027_2,2.0
335.0,100.59438798071741,7.183800836050818,2.299999952316284,1.8600000143051147,2.0799999237060547,2.0799999237060547,5.199999809265137,11.899999618530273,8.600000381469727,0.6349999904632568,0.5159999923706055,ac,68,20241027_2,2.0
340.0,100.59439752167388,7.183756541050252,3.859999895095825,2.119999885559082,2.989999771118164,2.990000009536743,9.899999618530273,15.699999809265137,12.800000190734863,0.6919999718666077,0.5615999774932862,ac,69,20241027_2,2.0
345.0,100.59440679728338,7.183712355859084,5.929999828338623,2.119999885559082,4.024999618530273,4.019999980926514,4.900000095367432,10.399999618530273,7.599999904632568,0.6930000185966492,0.5624000148773194,ac,70,20241027_2,2.0
350.0,100.59441599160883,7.183667942120869,9.119999885559082,6.110000133514404,7.614999771118164,7.619999885559082,5.800000190734863,7.400000095367432,6.599999904632568,0.5360000133514404,0.4368000106811524,ac,71,20241027_2,2.0
355.0,100.5944244634363,7.183625865690669,2.7300000190734863,2.609999895095825,2.6700000762939453,2.6700000762939453,5.199999809265137,10.800000190734863,8.0,0.5830000042915344,0.4744000034332276,ac,72,20241027_2,2.0
360.0,100.59443348924324,7.183579971896966,5.320000171661377,3.259999990463257,4.289999961853027,4.289999961853027,7.400000095367432,17.399999618530273,12.399999618530273,0.6740000247955322,0.5472000198364259,ac,73,20241027_2,2.0
365.0,100.59444188934656,7.183537638517231,3.240000009536743,1.9700000286102295,2.6050000190734863,2.609999895095825,5.599999904632568,14.600000381469727,10.100000381469727,0.6019999980926514,0.4895999984741211,ac,74,20241027_2,2.0
370.0,100.59445146037292,7.1834909787812755,5.210000038146973,2.759999990463257,3.9850001335144043,3.990000009536743,7.199999809265137,2.5,4.900000095367432,0.5,0.40800000000000003,ac,75,20241027_2,2.0
375.0,100.59446032092582,7.183446864063872,5.619999885559082,2.549999952316284,4.085000038146973,4.090000152587891,8.300000190734863,7.5,7.900000095367432,0.5109999775886536,0.4167999820709229,ac,76,20241027_2,2.0
380.0,100.59446912035845,7.183402561207077,3.319999933242798,0.9200000166893005,2.119999885559082,2.119999885559082,5.900000095367432,7.400000095367432,6.599999904632568,0.5379999876022339,0.43839999008178715,ac,77,20241027_2,2.0
385.0,100.59447817029391,7.183358094376223,4.210000038146973,4.739999771118164,4.474999904632568,4.480000019073486,8.800000190734863,7.699999809265137,8.199999809265137,0.6980000138282776,0.566400011062622,ac,78,20241027_2,2.0
390.0,100.59448697065652,7.183315359708141,4.300000190734863,2.8399999141693115,3.570000171661377,3.569999933242798,10.199999809265137,5.400000095367432,7.800000190734863,0.5360000133514404,0.4368000106811524,ac,79,20241027_2,2.0
395.0,100.5944960486784,7.183269502595213,3.2699999809265137,5.519999980926514,4.394999980926514,4.400000095367432,10.199999809265137,4.199999809265137,7.199999809265137,0.5120000243186951,0.41760001945495606,ac,80,20241027_2,2.0
400.0,100.59450404718676,7.1832276857399435,7.059999942779541,2.940000057220459,5.0,5.0,6.599999904632568,4.599999904632568,5.599999904632568,0.5299999713897705,0.4319999771118164,ac,81,20241027_2,2.0
405.0,100.59451317110093,7.183180796444991,5.119999885559082,4.400000095367432,4.760000228881836,4.760000228881836,8.5,10.699999809265137,9.600000381469727,0.47200000286102295,0.3856000022888184,ac,82,20241027_2,2.0
410.0,100.59452095903968,7.183136630860317,6.480000019073486,4.159999847412109,5.319999694824219,5.320000171661377,9.800000190734863,10.5,10.199999809265137,0.5389999747276306,0.4391999797821045,ac,83,20241027_2,2.0
